ID,OrderID,OrderDate,Region,Customer,Category,Product,Quantity,UnitPrice,Sales
34,ORD00034,2024-08-09,East,Customer_70,Furniture,Table,8,778,6224
35,ORD00035,2024-12-08,North,Customer_54,Electronics,Keyboard,1,463,463
36,ORD00036,2024-07-30,South,Customer_433,Electronics,Printer,5,986,4930
37,ORD00037,2023-07-20,North,Customer_422,Office Supplies,Notebook,8,543,4344
38,ORD00038,2023-10-05,South,Customer_132,Office Supplies,Notebook,8,564,4512
39,ORD00039,2023-03-25,North,Customer_303,Electronics,Mouse,9,190,1710
40,ORD00040,2023-12-29,South,Customer_170,Electronics,Printer,3,847,2541
41,ORD00041,2023-09-23,East,Customer_31,Electronics,Laptop,9,784,7056
42,ORD00042,2024-03-03,East,Customer_229,Furniture,Desk,5,774,3870
43,ORD00043,2024-10-16,North,Customer_381,Furniture,Table,6,795,4770
44,ORD00044,2023-11-11,West,Customer_45,Office Supplies,Notebook,1,480,480
45,ORD00045,2024-03-08,South,Customer_65,Electronics,Printer,7,642,4494
46,ORD00046,2024-07-01,North,Customer_356,Office Supplies,Stapler,7,174,1218
47,ORD00047,2023-08-10,East,Customer_250,Electronics,Printer,2,206,412
48,ORD00048,2023-03-18,East,Customer_57,Electronics,Laptop,2,467,934
49,ORD00049,2024-09-15,West,Customer_490,Electronics,Keyboard,7,745,5215
50,ORD00050,2024-03-11,West,Customer_244,Furniture,Table,9,872,7848
51,ORD00051,2023-01-13,South,Customer_409,Electronics,Keyboard,8,608,4864
52,ORD00052,2024-08-13,North,Customer_68,Furniture,Chair,5,535,2675
53,ORD00053,2024-11-21,East,Customer_457,Office Supplies,Stapler,10,408,4080
54,ORD00054,2024-02-04,North,Customer_45,Electronics,Monitor,4,688,2752
55,ORD00055,2024-03-15,North,Customer_282,Office Supplies,Notebook,2,434,868
56,ORD00056,2024-07-17,East,Customer_319,Furniture,Cupboard,1,431,431
57,ORD00057,2024-10-07,East,Customer_111,Furniture,Table,5,12,60
58,ORD00058,2023-05-26,South,Customer_357,Electronics,Printer,2,846,1692
59,ORD00059,2024-03-11,North,Customer_346,Office Supplies,Pen,2,985,1970
60,ORD00060,2023-06-16,South,Customer_253,Electronics,Printer,4,854,3416
61,ORD00061,2023-03-19,East,Customer_238,Electronics,Monitor,5,899,4495
62,ORD00062,2023-03-26,South,Customer_92,Furniture,Chair,5,42,210
63,ORD00063,2023-08-13,East,Customer_293,Furniture,Table,5,875,4375
64,ORD00064,2023-02-17,West,Customer_62,Office Supplies,Paper Pack,4,37,148
65,ORD00065,2023-12-06,West,Customer_460,Office Supplies,Paper Pack,7,398,2786
66,ORD00066,2023-11-05,South,Customer_181,Electronics,Printer,1,858,858
67,ORD00067,2023-09-25,West,Customer_451,Electronics,Monitor,9,538,4842
68,ORD00068,2023-10-02,East,Customer_216,Office Supplies,Stapler,7,227,1589
69,ORD00069,2023-02-28,East,Customer_360,Furniture,Table,4,833,3332
70,ORD00070,2024-06-10,South,Customer_172,Electronics,Printer,9,905,8145
71,ORD00071,2023-05-02,West,Customer_105,Furniture,Chair,1,337,337
72,ORD00072,2024-04-22,East,Customer_355,Office Supplies,Stapler,1,504,504
73,ORD00073,2024-09-05,East,Customer_309,Furniture,Table,1,158,158
74,ORD00074,2024-06-07,East,Customer_465,Office Supplies,Stapler,7,515,3605
75,ORD00075,2023-08-12,South,Customer_252,Office Supplies,Paper Pack,6,727,4362
76,ORD00076,2024-11-03,South,Customer_89,Electronics,Printer,9,224,2016
77,ORD00077,2024-06-13,North,Customer_89,Office Supplies,Paper Pack,7,137,959
78,ORD00078,2023-12-16,South,Customer_261,Furniture,Chair,5,370,1850
79,ORD00079,2024-05-21,North,Customer_441,Office Supplies,Stapler,6,54,324
80,ORD00080,2023-12-21,West,Customer_334,Electronics,Mouse,6,90,540
81,ORD00081,2024-06-01,West,Customer_238,Furniture,Cupboard,2,369,738
82,ORD00082,2024-11-27,East,Customer_405,Electronics,Laptop,7,764,5348
83,ORD00083,2024-05-05,South,Customer_280,Furniture,Desk,10,946,9460
84,ORD00084,2024-09-14,South,Customer_172,Furniture,Table,10,40,400
85,ORD00085,2023-04-27,South,Customer_445,Furniture,Cupboard,1,96,96
86,ORD00086,2024-05-11,East,Customer_208,Office Supplies,Paper Pack,5,362,1810
87,ORD00087,2024-04-20,North,Customer_324,Furniture,Table,1,524,524
88,ORD00088,2023-04-07,South,Customer_183,Electronics,Mouse,6,276,1656
89,ORD00089,2024-07-10,East,Customer_441,Office Supplies,Pen,5,992,4960
90,ORD00090,2024-02-06,West,Customer_406,Electronics,Mouse,6,482,2892
91,ORD00091,2024-04-16,West,Customer_298,Office Supplies,Pen,9,312,2808
92,ORD00092,2023-03-01,North,Customer_330,Furniture,Table,3,864,2592
93,ORD00093,2024-01-30,East,Customer_120,Electronics,Printer,6,102,612
94,ORD00094,2024-05-06,South,Customer_68,Electronics,Printer,8,309,2472
95,ORD00095,2024-01-26,West,Customer_483,Office Supplies,Paper Pack,3,61,183
96,ORD00096,2024-03-18,West,Customer_407,Electronics,Mouse,1,456,456
97,ORD00097,2024-04-18,East,Customer_197,Office Supplies,Paper Pack,8,693,5544
98,ORD00098,2024-02-08,West,Customer_383,Office Supplies,Paper Pack,2,829,1658
99,ORD00099,2024-07-09,North,Customer_349,Electronics,Monitor,2,144,288
100,ORD00100,2024-02-23,East,Customer_128,Furniture,Table,6,411,2466
101,ORD00101,2024-03-01,North,Customer_5,Furniture,Chair,3,860,2580
102,ORD00102,2024-05-08,East,Customer_110,Electronics,Mouse,1,290,290
103,ORD00103,2023-01-22,South,Customer_198,Furniture,Table,3,471,1413
104,ORD00104,2024-02-23,West,Customer_145,Furniture,Cupboard,6,10,60
105,ORD00105,2023-09-22,South,Customer_230,Furniture,Chair,10,287,2870
106,ORD00106,2024-09-04,South,Customer_368,Office Supplies,Paper Pack,9,147,1323
107,ORD00107,2023-10-03,East,Customer_257,Electronics,Laptop,8,313,2504
108,ORD00108,2023-11-14,North,Customer_329,Office Supplies,Notebook,3,793,2379
109,ORD00109,2024-02-17,East,Customer_206,Furniture,Cupboard,5,573,2865
110,ORD00110,2023-11-17,South,Customer_316,Furniture,Chair,5,37,185
111,ORD00111,2023-08-11,West,Customer_263,Electronics,Mouse,3,846,2538
112,ORD00112,2024-04-08,East,Customer_261,Electronics,Laptop,10,566,5660
113,ORD00113,2024-07-22,East,Customer_118,Office Supplies,Stapler,10,402,4020
114,ORD00114,2024-08-23,West,Customer_63,Office Supplies,Pen,4,178,712
115,ORD00115,2024-07-20,East,Customer_126,Electronics,Keyboard,8,71,568
116,ORD00116,2023-02-16,North,Customer_101,Office Supplies,Notebook,10,400,4000
117,ORD00117,2023-05-14,North,Customer_318,Electronics,Printer,4,105,420
118,ORD00118,2024-08-17,East,Customer_496,Office Supplies,Paper Pack,1,990,990
119,ORD00119,2024-12-13,East,Customer_307,Office Supplies,Pen,3,545,1635
120,ORD00120,2024-03-10,East,Customer_84,Furniture,Chair,1,415,415
121,ORD00121,2023-07-29,South,Customer_421,Furniture,Cupboard,3,206,618
122,ORD00122,2024-12-31,North,Customer_315,Office Supplies,Pen,4,358,1432
123,ORD00123,2023-09-19,North,Customer_161,Furniture,Table,6,216,1296
124,ORD00124,2023-01-07,West,Customer_360,Office Supplies,Stapler,3,925,2775
125,ORD00125,2024-01-23,North,Customer_259,Office Supplies,Pen,1,345,345
126,ORD00126,2023-10-15,East,Customer_162,Furniture,Desk,5,757,3785
127,ORD00127,2024-09-19,East,Customer_38,Furniture,Desk,7,697,4879
128,ORD00128,2023-11-24,West,Customer_339,Office Supplies,Paper Pack,7,796,5572
129,ORD00129,2023-04-21,North,Customer_78,Electronics,Mouse,10,446,4460
130,ORD00130,2023-08-02,South,Customer_488,Office Supplies,Paper Pack,10,56,560
131,ORD00131,2023-12-26,West,Customer_118,Furniture,Desk,10,737,7370
132,ORD00132,2024-09-24,North,Customer_81,Furniture,Chair,2,738,1476
133,ORD00133,2023-03-22,North,Customer_239,Office Supplies,Stapler,9,964,8676
134,ORD00134,2023-07-13,West,Customer_124,Office Supplies,Pen,5,621,3105
135,ORD00135,2024-09-14,North,Customer_1,Office Supplies,Notebook,5,491,2455
136,ORD00136,2024-04-21,South,Customer_207,Electronics,Keyboard,1,323,323
137,ORD00137,2023-06-23,South,Customer_260,Furniture,Desk,6,393,2358
138,ORD00138,2023-07-11,South,Customer_197,Office Supplies,Notebook,8,592,4736
139,ORD00139,2024-09-09,North,Customer_233,Electronics,Printer,9,848,7632
140,ORD00140,2023-07-08,North,Customer_331,Office Supplies,Notebook,10,914,9140
141,ORD00141,2023-09-25,North,Customer_155,Electronics,Keyboard,2,652,1304
142,ORD00142,2024-04-30,East,Customer_212,Electronics,Mouse,10,293,2930
143,ORD00143,2023-04-06,South,Customer_216,Office Supplies,Notebook,9,646,5814
144,ORD00144,2023-10-07,South,Customer_135,Electronics,Keyboard,1,193,193
145,ORD00145,2024-09-03,West,Customer_496,Furniture,Table,5,32,160
146,ORD00146,2023-07-25,South,Customer_33,Furniture,Table,9,846,7614
147,ORD00147,2024-09-07,North,Customer_267,Electronics,Laptop,5,910,4550
148,ORD00148,2024-02-02,South,Customer_426,Electronics,Mouse,7,159,1113
149,ORD00149,2023-07-29,East,Customer_111,Electronics,Laptop,6,972,5832
150,ORD00150,2024-11-06,South,Customer_261,Furniture,Chair,3,413,1239
151,ORD00151,2023-10-09,South,Customer_28,Office Supplies,Pen,8,283,2264
152,ORD00152,2023-09-19,North,Customer_223,Furniture,Desk,5,900,4500
153,ORD00153,2024-06-08,East,Customer_93,Electronics,Printer,10,725,7250
154,ORD00154,2023-02-15,South,Customer_306,Furniture,Desk,1,909,909
155,ORD00155,2023-03-02,West,Customer_236,Furniture,Table,9,828,7452
156,ORD00156,2023-06-09,East,Customer_63,Furniture,Chair,3,500,1500
157,ORD00157,2024-06-18,North,Customer_248,Electronics,Printer,5,979,4895
158,ORD00158,2023-04-14,East,Customer_194,Office Supplies,Paper Pack,7,23,161
159,ORD00159,2023-04-15,East,Customer_326,Office Supplies,Pen,4,378,1512
160,ORD00160,2023-06-20,North,Customer_140,Furniture,Desk,6,383,2298
161,ORD00161,2023-08-19,East,Customer_103,Electronics,Keyboard,8,240,1920
162,ORD00162,2023-07-06,West,Customer_187,Office Supplies,Stapler,4,295,1180
163,ORD00163,2024-03-13,South,Customer_197,Furniture,Table,6,977,5862
164,ORD00164,2023-05-07,South,Customer_375,Furniture,Chair,1,136,136
165,ORD00165,2024-07-05,North,Customer_137,Electronics,Monitor,3,901,2703
166,ORD00166,2023-06-29,North,Customer_475,Office Supplies,Stapler,9,433,3897
167,ORD00167,2023-02-16,South,Customer_220,Furniture,Cupboard,5,596,2980
168,ORD00168,2023-04-30,West,Customer_214,Furniture,Chair,10,583,5830
169,ORD00169,2023-09-12,West,Customer_72,Electronics,Laptop,9,770,6930
170,ORD00170,2023-04-20,West,Customer_79,Office Supplies,Pen,4,844,3376
171,ORD00171,2023-01-08,East,Customer_11,Office Supplies,Stapler,4,90,360
172,ORD00172,2023-03-27,West,Customer_340,Office Supplies,Notebook,3,507,1521
173,ORD00173,2024-05-25,South,Customer_327,Electronics,Mouse,1,145,145
174,ORD00174,2023-03-27,East,Customer_455,Electronics,Monitor,10,432,4320
175,ORD00175,2024-06-25,North,Customer_316,Office Supplies,Paper Pack,1,335,335
176,ORD00176,2023-12-22,East,Customer_89,Electronics,Laptop,1,350,350
177,ORD00177,2024-07-06,West,Customer_52,Office Supplies,Notebook,5,194,970
178,ORD00178,2024-02-11,South,Customer_427,Office Supplies,Notebook,6,661,3966
179,ORD00179,2024-10-23,South,Customer_373,Office Supplies,Paper Pack,2,401,802
180,ORD00180,2023-09-24,East,Customer_163,Office Supplies,Notebook,1,520,520
181,ORD00181,2023-05-14,West,Customer_273,Office Supplies,Pen,2,686,1372
182,ORD00182,2023-08-11,North,Customer_65,Office Supplies,Pen,2,598,1196
183,ORD00183,2024-08-30,West,Customer_194,Electronics,Laptop,1,989,989
184,ORD00184,2023-05-05,East,Customer_312,Electronics,Laptop,9,40,360
185,ORD00185,2024-12-25,South,Customer_253,Furniture,Cupboard,3,694,2082
186,ORD00186,2024-01-23,South,Customer_303,Office Supplies,Pen,8,672,5376
187,ORD00187,2024-06-27,West,Customer_329,Office Supplies,Stapler,6,84,504
188,ORD00188,2024-04-01,North,Customer_179,Office Supplies,Stapler,8,199,1592
189,ORD00189,2024-06-23,East,Customer_193,Furniture,Chair,6,723,4338
190,ORD00190,2023-02-26,West,Customer_102,Furniture,Desk,1,666,666
191,ORD00191,2023-04-29,West,Customer_23,Office Supplies,Pen,7,314,2198
192,ORD00192,2023-07-27,North,Customer_158,Office Supplies,Stapler,1,912,912
193,ORD00193,2023-12-13,South,Customer_412,Furniture,Cupboard,6,677,4062
194,ORD00194,2024-11-24,North,Customer_421,Furniture,Cupboard,3,183,549
195,ORD00195,2024-05-24,South,Customer_411,Electronics,Monitor,3,776,2328
196,ORD00196,2023-03-23,West,Customer_268,Furniture,Table,3,200,600
197,ORD00197,2024-12-02,West,Customer_457,Electronics,Printer,7,835,5845
198,ORD00198,2024-05-08,North,Customer_221,Office Supplies,Stapler,3,721,2163
199,ORD00199,2023-06-15,South,Customer_153,Electronics,Printer,7,758,5306
200,ORD00200,2024-01-09,South,Customer_163,Office Supplies,Stapler,1,244,244
201,ORD00201,2023-08-04,East,Customer_30,Office Supplies,Stapler,3,58,174
202,ORD00202,2023-12-13,South,Customer_150,Electronics,Laptop,3,47,141
203,ORD00203,2023-01-18,West,Customer_317,Furniture,Chair,9,910,8190
204,ORD00204,2023-01-22,West,Customer_208,Electronics,Monitor,3,674,2022
205,ORD00205,2023-10-25,North,Customer_429,Furniture,Chair,6,344,2064
206,ORD00206,2024-04-08,South,Customer_416,Office Supplies,Stapler,3,30,90
207,ORD00207,2023-06-08,North,Customer_83,Furniture,Chair,5,66,330
208,ORD00208,2023-04-22,West,Customer_448,Furniture,Table,4,694,2776
209,ORD00209,2024-09-09,West,Customer_420,Furniture,Cupboard,10,660,6600
210,ORD00210,2023-02-12,West,Customer_296,Electronics,Monitor,8,973,7784
211,ORD00211,2023-02-16,North,Customer_188,Furniture,Table,7,270,1890
212,ORD00212,2024-07-07,South,Customer_294,Furniture,Table,1,699,699
213,ORD00213,2024-08-13,West,Customer_118,Office Supplies,Notebook,9,237,2133
214,ORD00214,2023-03-30,West,Customer_85,Office Supplies,Notebook,9,210,1890
215,ORD00215,2023-05-30,East,Customer_24,Electronics,Keyboard,10,931,9310
216,ORD00216,2024-06-01,West,Customer_276,Furniture,Desk,1,97,97
217,ORD00217,2024-02-12,South,Customer_318,Electronics,Laptop,4,510,2040
218,ORD00218,2024-06-24,West,Customer_361,Electronics,Printer,1,629,629
219,ORD00219,2024-06-27,South,Customer_311,Furniture,Chair,1,944,944
220,ORD00220,2023-11-06,West,Customer_432,Electronics,Printer,3,256,768
221,ORD00221,2024-10-15,West,Customer_13,Furniture,Cupboard,5,546,2730
222,ORD00222,2024-07-28,West,Customer_296,Furniture,Table,4,731,2924
223,ORD00223,2024-01-04,East,Customer_67,Office Supplies,Pen,7,514,3598
224,ORD00224,2023-07-26,North,Customer_475,Office Supplies,Paper Pack,2,596,1192
225,ORD00225,2023-11-21,South,Customer_363,Furniture,Table,9,214,1926
226,ORD00226,2023-06-18,South,Customer_317,Furniture,Desk,1,526,526
227,ORD00227,2024-05-14,East,Customer_387,Office Supplies,Stapler,3,846,2538
228,ORD00228,2023-03-03,West,Customer_420,Electronics,Laptop,9,479,4311
229,ORD00229,2023-03-31,North,Customer_389,Office Supplies,Paper Pack,5,430,2150
230,ORD00230,2023-07-26,South,Customer_407,Furniture,Chair,7,50,350
231,ORD00231,2023-01-14,South,Customer_23,Furniture,Desk,8,558,4464
232,ORD00232,2024-10-24,East,Customer_469,Electronics,Laptop,5,918,4590
233,ORD00233,2024-09-06,West,Customer_210,Electronics,Printer,1,765,765
234,ORD00234,2023-01-05,East,Customer_444,Office Supplies,Notebook,1,799,799
235,ORD00235,2024-12-24,East,Customer_281,Office Supplies,Paper Pack,8,772,6176
236,ORD00236,2023-04-16,North,Customer_124,Office Supplies,Notebook,8,514,4112
237,ORD00237,2023-03-08,West,Customer_348,Electronics,Printer,9,793,7137
238,ORD00238,2023-09-08,East,Customer_340,Office Supplies,Paper Pack,4,999,3996
239,ORD00239,2024-02-19,North,Customer_346,Electronics,Mouse,6,437,2622
240,ORD00240,2023-07-25,East,Customer_127,Electronics,Printer,6,142,852
241,ORD00241,2024-12-11,East,Customer_92,Office Supplies,Notebook,6,319,1914
242,ORD00242,2023-12-18,West,Customer_433,Electronics,Monitor,9,295,2655
243,ORD00243,2024-08-26,South,Customer_449,Furniture,Chair,3,971,2913
244,ORD00244,2024-11-22,North,Customer_414,Electronics,Monitor,1,878,878
245,ORD00245,2023-10-21,South,Customer_21,Electronics,Monitor,7,835,5845
246,ORD00246,2023-03-29,East,Customer_232,Furniture,Cupboard,8,120,960
247,ORD00247,2023-09-10,West,Customer_233,Office Supplies,Pen,6,40,240
248,ORD00248,2023-09-15,South,Customer_449,Electronics,Mouse,10,727,7270
249,ORD00249,2024-08-16,East,Customer_5,Electronics,Keyboard,9,267,2403
250,ORD00250,2024-04-29,North,Customer_212,Electronics,Keyboard,7,808,5656
251,ORD00251,2024-05-31,South,Customer_134,Furniture,Chair,9,773,6957
252,ORD00252,2023-02-01,South,Customer_415,Office Supplies,Notebook,1,993,993
253,ORD00253,2023-03-04,East,Customer_452,Electronics,Printer,8,790,6320
254,ORD00254,2023-01-19,West,Customer_120,Furniture,Table,6,321,1926
255,ORD00255,2024-02-11,East,Customer_472,Office Supplies,Paper Pack,8,819,6552
256,ORD00256,2024-10-28,West,Customer_407,Office Supplies,Paper Pack,8,998,7984
257,ORD00257,2024-04-13,North,Customer_153,Electronics,Keyboard,10,992,9920
258,ORD00258,2024-01-21,East,Customer_303,Electronics,Keyboard,6,281,1686
259,ORD00259,2024-07-22,South,Customer_372,Electronics,Printer,6,395,2370
260,ORD00260,2024-04-12,South,Customer_158,Furniture,Desk,1,366,366
261,ORD00261,2024-02-01,East,Customer_247,Furniture,Table,8,228,1824
262,ORD00262,2023-09-27,North,Customer_179,Furniture,Chair,3,916,2748
263,ORD00263,2023-11-21,North,Customer_358,Office Supplies,Pen,8,283,2264
264,ORD00264,2023-01-28,East,Customer_282,Furniture,Cupboard,1,516,516
265,ORD00265,2024-05-02,North,Customer_151,Electronics,Mouse,9,852,7668
266,ORD00266,2024-10-30,West,Customer_138,Electronics,Keyboard,2,471,942
267,ORD00267,2023-04-09,North,Customer_213,Furniture,Table,4,24,96
268,ORD00268,2023-07-07,West,Customer_92,Electronics,Mouse,1,800,800
269,ORD00269,2023-11-10,East,Customer_280,Furniture,Cupboard,4,739,2956
270,ORD00270,2024-04-25,West,Customer_82,Furniture,Chair,4,869,3476
271,ORD00271,2024-04-07,West,Customer_10,Electronics,Keyboard,3,429,1287
272,ORD00272,2023-12-15,South,Customer_167,Office Supplies,Notebook,4,317,1268
273,ORD00273,2024-03-12,East,Customer_446,Office Supplies,Stapler,3,390,1170
274,ORD00274,2024-01-05,West,Customer_413,Office Supplies,Pen,8,452,3616
275,ORD00275,2024-05-25,North,Customer_18,Furniture,Cupboard,6,264,1584
276,ORD00276,2024-06-13,East,Customer_233,Office Supplies,Pen,2,961,1922
277,ORD00277,2024-03-07,South,Customer_72,Office Supplies,Paper Pack,1,493,493
278,ORD00278,2024-06-28,West,Customer_95,Furniture,Table,9,949,8541
279,ORD00279,2024-08-03,East,Customer_374,Office Supplies,Notebook,8,854,6832
280,ORD00280,2024-07-04,East,Customer_273,Office Supplies,Notebook,2,929,1858
281,ORD00281,2024-01-21,East,Customer_304,Furniture,Table,6,68,408
282,ORD00282,2023-02-13,West,Customer_43,Office Supplies,Paper Pack,7,499,3493
283,ORD00283,2024-12-18,South,Customer_234,Furniture,Cupboard,9,504,4536
284,ORD00284,2024-04-25,North,Customer_48,Office Supplies,Notebook,10,151,1510
285,ORD00285,2024-08-28,South,Customer_73,Furniture,Table,7,787,5509
286,ORD00286,2023-05-17,North,Customer_436,Office Supplies,Paper Pack,3,113,339
287,ORD00287,2023-07-12,North,Customer_477,Office Supplies,Notebook,1,163,163
288,ORD00288,2024-09-09,East,Customer_175,Furniture,Cupboard,1,956,956
289,ORD00289,2023-05-16,East,Customer_29,Electronics,Laptop,2,996,1992
290,ORD00290,2023-09-30,South,Customer_82,Electronics,Printer,3,32,96
291,ORD00291,2023-11-22,South,Customer_317,Office Supplies,Pen,2,721,1442
292,ORD00292,2023-04-24,West,Customer_325,Furniture,Table,3,11,33
293,ORD00293,2023-09-15,South,Customer_434,Office Supplies,Pen,7,377,2639
294,ORD00294,2023-02-21,North,Customer_306,Furniture,Desk,1,229,229
295,ORD00295,2023-03-31,South,Customer_82,Office Supplies,Pen,8,131,1048
296,ORD00296,2024-04-17,East,Customer_102,Furniture,Chair,2,646,1292
297,ORD00297,2024-09-07,East,Customer_50,Electronics,Printer,1,22,22
298,ORD00298,2024-06-23,South,Customer_196,Furniture,Chair,5,715,3575
299,ORD00299,2024-01-31,South,Customer_447,Furniture,Chair,6,763,4578
300,ORD00300,2024-01-15,West,Customer_195,Office Supplies,Notebook,3,285,855
301,ORD00301,2023-04-19,South,Customer_385,Electronics,Keyboard,5,84,420
302,ORD00302,2023-10-09,West,Customer_256,Furniture,Chair,10,518,5180
303,ORD00303,2023-09-06,South,Customer_399,Furniture,Cupboard,6,989,5934
304,ORD00304,2023-06-06,East,Customer_207,Furniture,Cupboard,4,256,1024
305,ORD00305,2024-07-28,West,Customer_242,Furniture,Cupboard,6,286,1716
306,ORD00306,2024-08-10,South,Customer_229,Electronics,Laptop,9,127,1143
307,ORD00307,2023-12-15,East,Customer_54,Office Supplies,Notebook,5,240,1200
308,ORD00308,2024-12-11,South,Customer_339,Furniture,Table,4,953,3812
309,ORD00309,2023-08-29,North,Customer_154,Furniture,Chair,10,647,6470
310,ORD00310,2024-02-21,North,Customer_132,Office Supplies,Notebook,9,721,6489
311,ORD00311,2023-05-30,West,Customer_298,Furniture,Desk,3,267,801
312,ORD00312,2024-05-14,North,Customer_203,Furniture,Cupboard,6,248,1488
313,ORD00313,2024-11-29,East,Customer_303,Furniture,Chair,8,311,2488
314,ORD00314,2024-10-01,West,Customer_42,Electronics,Laptop,10,484,4840
315,ORD00315,2023-06-24,North,Customer_444,Furniture,Chair,5,342,1710
316,ORD00316,2024-03-29,East,Customer_245,Electronics,Laptop,7,379,2653
317,ORD00317,2024-05-03,North,Customer_264,Office Supplies,Pen,6,588,3528
318,ORD00318,2023-06-01,East,Customer_4,Electronics,Printer,7,350,2450
319,ORD00319,2024-06-25,South,Customer_225,Office Supplies,Notebook,10,609,6090
320,ORD00320,2023-02-26,North,Customer_99,Electronics,Mouse,6,140,840
321,ORD00321,2023-09-19,East,Customer_319,Office Supplies,Notebook,7,164,1148
322,ORD00322,2023-12-09,North,Customer_472,Office Supplies,Stapler,10,970,9700
323,ORD00323,2024-05-08,West,Customer_312,Office Supplies,Pen,7,931,6517
324,ORD00324,2024-01-08,South,Customer_260,Furniture,Table,6,796,4776
325,ORD00325,2024-03-07,West,Customer_167,Office Supplies,Stapler,5,36,180
326,ORD00326,2023-08-11,East,Customer_352,Electronics,Monitor,9,473,4257
327,ORD00327,2024-08-31,East,Customer_78,Furniture,Chair,10,956,9560
328,ORD00328,2023-02-14,North,Customer_173,Electronics,Laptop,6,11,66
329,ORD00329,2023-12-05,East,Customer_29,Office Supplies,Notebook,4,230,920
330,ORD00330,2023-03-10,East,Customer_411,Electronics,Keyboard,4,993,3972
331,ORD00331,2023-03-08,North,Customer_157,Electronics,Laptop,5,446,2230
332,ORD00332,2023-05-07,East,Customer_148,Electronics,Mouse,4,104,416
333,ORD00333,2024-05-08,South,Customer_315,Electronics,Laptop,4,704,2816
334,ORD00334,2023-04-26,East,Customer_274,Furniture,Chair,6,982,5892
335,ORD00335,2023-05-02,South,Customer_370,Furniture,Desk,10,322,3220
336,ORD00336,2024-09-07,East,Customer_343,Office Supplies,Pen,3,408,1224
337,ORD00337,2023-07-18,West,Customer_303,Office Supplies,Paper Pack,2,672,1344
338,ORD00338,2024-07-07,South,Customer_183,Office Supplies,Notebook,6,357,2142
339,ORD00339,2023-09-14,North,Customer_185,Office Supplies,Stapler,8,92,736
340,ORD00340,2023-05-25,South,Customer_232,Furniture,Desk,1,852,852
341,ORD00341,2024-03-12,North,Customer_277,Furniture,Table,9,926,8334
342,ORD00342,2024-09-26,South,Customer_437,Electronics,Laptop,10,789,7890
343,ORD00343,2024-11-23,South,Customer_462,Electronics,Mouse,8,511,4088
344,ORD00344,2024-03-10,West,Customer_497,Electronics,Printer,9,237,2133
345,ORD00345,2023-08-05,South,Customer_486,Electronics,Laptop,8,518,4144
346,ORD00346,2023-10-19,North,Customer_325,Electronics,Monitor,8,243,1944
347,ORD00347,2024-07-12,South,Customer_5,Electronics,Monitor,9,22,198
